Offered,Transfer,Claimed,Withdrawn,Offer,price_in_dollars,Year,Month,Punk_ID
0,0,0,1,0,"$68,985",2021,Apr,0008
0,0,0,0,0,"$62,427",2021,Apr,0008
0,0,0,1,0,"$41,618",2021,Apr,0008
0,0,0,0,0,"$40,949",2021,Apr,0008
0,0,0,0,0,"$3,618",2021,Mar,0008
0,0,0,1,0,$945,2020,Aug,0008
0,0,0,0,0,$918,2020,Aug,0008
0,0,0,1,0,$409,2020,May,0008
0,0,0,0,0,$422,2020,May,0008
0,0,0,1,0,$804,2020,Jan,0008
0,0,0,0,0,$808,2020,Jan,0008
0,0,0,1,0,$31,2017,Oct,0008
0,0,0,0,0,$38,2017,Aug,0008
0,0,0,1,0,$238,2017,Jul,0008
0,0,0,0,0,$246,2017,Jul,0008
0,0,0,0,0,$118,2017,Jul,0008
0,0,0,0,0,$15,2017,Jun,0008
0,0,0,0,0,$15,2017,Jun,0008
0,0,1,0,0,,2017,,0008
0,0,0,1,0,"$21,519",2021,Apr,0055
0,0,0,0,0,"$12,883",2021,Mar,0055
0,0,0,1,0,"$6,442",2021,Mar,0055
0,0,0,0,0,"$5,267",2021,Feb,0055
0,0,1,0,0,,2017,,0055
0,0,0,1,0,$202,2021,Jun,0101
0,0,0,0,0,$71,2017,Dec,0101
0,0,1,0,0,,2017,,0101
0,0,0,0,0,"$5,926",2021,Jun,0112
0,0,0,0,0,"$9,462",2021,May,0112
0,0,0,0,0,"$4,733",2021,Apr,0112
0,0,0,0,0,"$3,029",2021,Apr,0112
0,0,0,0,0,"$1,888",2021,Apr,0112
0,0,0,0,0,"$1,240",2021,Mar,0112
0,0,0,1,0,"$1,063",2021,Mar,0112
0,0,0,0,0,"$1,076",2021,Mar,0112
0,0,0,0,0,$733,2021,Mar,0112
0,0,0,0,0,$16,2021,Mar,0112
0,0,0,1,0,$29,2019,Nov,0112
0,0,0,0,0,$27,2019,Nov,0112
0,0,0,0,0,$9,2019,Jan,0112
0,0,0,0,0,$13,2017,Jun,0112
0,0,1,0,0,,2017,,0112
0,0,0,1,0,"$103,054",2021,Jun,0116
0,1,0,0,0,,2021,,0116
0,0,0,1,1,,2021,,0116
0,0,0,0,0,"$159,540",2021,May,0116
1,0,0,0,1,"$398,850",2021,May,0116
0,0,0,1,0,"$16,718",2021,Apr,0116
0,0,0,0,0,"$14,684",2021,Mar,0116
0,0,0,0,0,$<0.01,2021,Mar,0116
0,0,0,0,0,$<0.01,2020,Dec,0116
0,0,0,1,0,"$1,035",2020,Oct,0116
0,0,0,0,0,"$1,034",2020,Oct,0116
0,0,0,0,0,$456,2017,Jul,0116
1,0,0,0,1,$473,2017,Jul,0116
1,0,0,0,1,$493,2017,Jul,0116
0,0,0,1,1,,2017,,0116
1,0,0,0,1,$616,2017,Jul,0116
1,0,0,0,1,"$1,121",2017,Jul,0116
1,0,0,0,1,$667,2017,Jul,0116
0,0,0,1,1,,2017,,0116
1,0,0,0,1,$572,2017,Jul,0116
0,0,0,0,0,$229,2017,Jul,0116
1,0,0,0,1,$229,2017,Jul,0116
0,0,0,1,0,$166,2017,Jul,0116
0,0,0,0,0,$166,2017,Jul,0116
0,0,0,1,0,$50,2017,Jul,0116
0,0,0,0,0,$51,2017,Jun,0116
0,0,1,0,0,,2017,,0116
0,0,0,1,0,"$41,212",2021,Apr,0269
0,0,0,0,0,"$39,886",2021,Apr,0269
0,0,0,1,0,"$10,227",2021,Apr,0269
0,0,0,0,0,"$10,370",2021,Apr,0269
0,1,0,0,0,,2018,,0269
0,0,0,0,0,$13,2017,Jun,0269
0,0,1,0,0,,2017,,0269
0,0,0,1,0,$230,2021,Apr,0280
0,0,0,0,0,$232,2021,Apr,0280
0,0,0,0,0,$1,2020,May,0280
0,0,0,0,0,$188,2017,Dec,0280
0,0,0,0,0,$244,2017,Jul,0280
1,0,0,0,1,$260,2017,Jul,0280
0,0,0,0,0,$66,2017,Jul,0280
0,0,0,0,0,$66,2017,Jul,0280
0,0,0,0,0,$53,2017,Jul,0280
0,0,0,0,0,$53,2017,Jul,0280
0,0,1,0,0,,2017,,0280
0,0,0,1,0,$356,2021,Jun,0310
0,0,0,0,0,$351,2021,Jun,0310
0,1,0,0,0,,2021,,0310
0,0,0,0,0,$27,2019,May,0310
0,0,1,0,0,,2017,,0310
0,0,0,1,0,"$1,024",2021,Apr,0336
0,0,0,0,0,$990,2021,Apr,0336
0,0,0,0,0,$14,2017,Jun,0336
0,0,1,0,0,,2017,,0336
0,0,0,1,0,"$1,074",2021,Apr,0363
0,0,0,0,0,$990,2021,Apr,0363
0,0,0,0,0,$13,2017,Jun,0363
0,0,1,0,0,,2017,,0363
