Offered,Transfer,Claimed,Withdrawn,Offer,price_in_dollars,Year,Month,Punk_ID
0.0,0,0,0,0,64.905,2021,Feb,0014
0.0,0,0,0,0,66.189,2021,Feb,0014
0.0,0,0,0,0,68.246,2021,Feb,0014
1.0,0,0,0,1,986.357,2021,Feb,0014
1.0,0,0,0,1,736.92,2021,Feb,0014
0.0,0,0,0,0,86.0,2019,Apr,0014
1.0,0,0,0,1,515.0,2018,Dec,0014
0.0,0,0,0,0,234.0,2018,Dec,0014
1.0,0,0,0,1,1.884,2017,Dec,0014
0.0,0,0,0,0,351.0,2017,Jul,0014
1.0,0,0,0,1,365.0,2017,Jul,0014
1.0,0,0,0,1,375.0,2017,Jul,0014
1.0,0,0,0,1,394.0,2017,Jul,0014
0.0,0,0,0,0,185.0,2017,Jul,0014
1.0,0,0,0,1,185.0,2017,Jul,0014
0.0,0,0,0,0,22.0,2017,Jul,0014
0.0,0,0,0,0,145.0,2017,Jul,0014
0.0,0,0,0,0,88.0,2017,Jul,0014
0.0,0,0,0,0,28.0,2017,Jul,0014
0.0,0,0,0,0,16.0,2017,Jun,0014
0.0,0,0,0,0,114.0,2017,Jun,0014
0.0,0,0,0,0,14.0,2017,Jun,0014
1.0,0,0,0,1,1590000.0,2021,Mar,0089
1.0,0,0,0,1,542.466,2021,Mar,0089
0.0,0,0,0,0,76.069,2021,Feb,0089
0.0,0,0,0,0,67.178,2021,Feb,0089
1.0,0,0,0,1,265.4,2021,Feb,0089
0.0,0,0,0,0,68.246,2021,Feb,0089
1.0,0,0,0,1,218.316,2021,Feb,0089
0.0,0,0,0,0,60.274,2021,Feb,0089
0.0,0,0,0,0,57.603,2021,Feb,0089
1.0,0,0,0,1,433.628,2021,Feb,0089
0.0,0,0,0,0,6.898,2020,Sep,0089
0.0,0,0,0,0,5.521,2020,Sep,0089
1.0,0,0,0,1,6.898,2020,Sep,0089
0.0,0,0,0,0,4.138,2020,May,0089
1.0,0,0,0,1,9.352,2020,May,0089
0.0,0,0,0,0,4.137,2020,May,0089
1.0,0,0,0,1,10.366,2020,May,0089
1.0,0,0,0,1,2.301,2018,Jan,0089
1.0,0,0,0,1,301.0,2017,Oct,0089
1.0,0,0,0,1,308.0,2017,Oct,0089
