Cluster Group,Cluster Name,Punk Name
0,The grey mohawk punk,Punk 2071.png
0,The grey mohawk punk,Punk 2348.png
0,The grey mohawk punk,Punk 2483.png
0,The grey mohawk punk,Punk 3310.png
0,The grey mohawk punk,Punk 3591.png
0,The grey mohawk punk,Punk 6007.png
0,The grey mohawk punk,Punk 8375.png
0,The grey mohawk punk,Punk 8508.png
0,The grey mohawk punk,Punk 8624.png
0,The grey mohawk punk,Punk 8876.png
0,The grey mohawk punk,Punk 8908.png
0,The grey mohawk punk,Punk 9236.png
0,The grey mohawk punk,Punk 9862.png
1,"The ""RYB"" hat dudes",Punk 0824.png
1,"The ""RYB"" hat dudes",Punk 4506.png
1,"The ""RYB"" hat dudes",Punk 5690.png
1,"The ""RYB"" hat dudes",Punk 7261.png
1,"The ""RYB"" hat dudes",Punk 7407.png
1,"The ""RYB"" hat dudes",Punk 7656.png
1,"The ""RYB"" hat dudes",Punk 7996.png
1,"The ""RYB"" hat dudes",Punk 8785.png
1,"The ""RYB"" hat dudes",Punk 9129.png
1,"The ""RYB"" hat dudes",Punk 9749.png
2,"The ""ginger"" bearded man",Punk 1968.png
2,"The ""ginger"" bearded man",Punk 2539.png
2,"The ""ginger"" bearded man",Punk 6105.png
2,"The ""ginger"" bearded man",Punk 6615.png
2,"The ""ginger"" bearded man",Punk 6809.png
2,"The ""ginger"" bearded man",Punk 7316.png
2,"The ""ginger"" bearded man",Punk 8395.png
2,"The ""ginger"" bearded man",Punk 8564.png
3,The yellow mohawk punk,Punk 1436.png
3,The yellow mohawk punk,Punk 3325.png
3,The yellow mohawk punk,Punk 3455.png
3,The yellow mohawk punk,Punk 4050.png
3,The yellow mohawk punk,Punk 4174.png
3,The yellow mohawk punk,Punk 4556.png
3,The yellow mohawk punk,Punk 4968.png
3,The yellow mohawk punk,Punk 4994.png
3,The yellow mohawk punk,Punk 6553.png
3,The yellow mohawk punk,Punk 7835.png
3,The yellow mohawk punk,Punk 7961.png
3,The yellow mohawk punk,Punk 8177.png
3,The yellow mohawk punk,Punk 8540.png
3,The yellow mohawk punk,Punk 9103.png
3,The yellow mohawk punk,Punk 9345.png
3,The yellow mohawk punk,Punk 9426.png
3,The yellow mohawk punk,Punk 9643.png
4,The blue hair brother,Punk 2246.png
4,The blue hair brother,Punk 4209.png
4,The blue hair brother,Punk 4436.png
4,The blue hair brother,Punk 5371.png
4,The blue hair brother,Punk 7007.png
4,The blue hair brother,Punk 9065.png
4,The blue hair brother,Punk 9847.png
5,The green long curled hair punks,Punk 2588.png
5,The green long curled hair punks,Punk 2960.png
5,The green long curled hair punks,Punk 3008.png
5,The green long curled hair punks,Punk 3277.png
5,The green long curled hair punks,Punk 3343.png
5,The green long curled hair punks,Punk 3385.png
5,The green long curled hair punks,Punk 3581.png
5,The green long curled hair punks,Punk 4044.png
5,The green long curled hair punks,Punk 4797.png
5,The green long curled hair punks,Punk 7045.png
5,The green long curled hair punks,Punk 7887.png
5,The green long curled hair punks,Punk 8485.png
5,The green long curled hair punks,Punk 8746.png
5,The green long curled hair punks,Punk 9194.png
5,The green long curled hair punks,Punk 9358.png
6,The 3d glasses mister,Punk 0561.png
6,The 3d glasses mister,Punk 1326.png
6,The 3d glasses mister,Punk 1510.png
6,The 3d glasses mister,Punk 3007.png
6,The 3d glasses mister,Punk 3925.png
6,The 3d glasses mister,Punk 5750.png
6,The 3d glasses mister,Punk 6080.png
7,The orange curled hair punk,Punk 0950.png
7,The orange curled hair punk,Punk 5078.png
7,The orange curled hair punk,Punk 5142.png
7,The orange curled hair punk,Punk 6274.png
7,The orange curled hair punk,Punk 9362.png
8,The red mohawk punk,Punk 2634.png
8,The red mohawk punk,Punk 5137.png
8,The red mohawk punk,Punk 6734.png
8,The red mohawk punk,Punk 6767.png
8,The red mohawk punk,Punk 8635.png
8,The red mohawk punk,Punk 8888.png
9,The green centrally bald hair punk,Punk 5272.png
9,The green centrally bald hair punk,Punk 7651.png
9,The green centrally bald hair punk,Punk 8344.png
10,The square-faced family,Punk 0139.png
10,The square-faced family,Punk 0583.png
10,The square-faced family,Punk 0852.png
10,The square-faced family,Punk 2050.png
10,The square-faced family,Punk 2108.png
10,The square-faced family,Punk 2165.png
10,The square-faced family,Punk 2377.png
10,The square-faced family,Punk 2653.png
10,The square-faced family,Punk 2767.png
10,The square-faced family,Punk 2788.png
10,The square-faced family,Punk 4325.png
10,The square-faced family,Punk 5016.png
10,The square-faced family,Punk 5754.png
10,The square-faced family,Punk 6334.png
10,The square-faced family,Punk 8622.png
10,The square-faced family,Punk 9421.png
10,The square-faced family,Punk 9673.png
10,The square-faced family,Punk 9973.png
11,The triangle-faced glasses ladies,Punk 0240.png
11,The triangle-faced glasses ladies,Punk 0985.png
11,The triangle-faced glasses ladies,Punk 4829.png
