Offered,Transfer,Claimed,Withdrawn,Offer,price_in_dollars,Year,Month,Punk_ID
0,0,0,1,0,"$68,985",2021,Apr,8
0,0,0,0,0,"$62,427",2021,Apr,8
0,0,0,1,0,"$41,618",2021,Apr,8
0,0,0,0,0,"$40,949",2021,Apr,8
0,0,0,0,0,"$3,618",2021,Mar,8
0,0,0,1,0,$945,2020,Aug,8
0,0,0,0,0,$918,2020,Aug,8
0,0,0,1,0,$409,2020,May,8
0,0,0,0,0,$422,2020,May,8
0,0,0,1,0,$804,2020,Jan,8
0,0,0,0,0,$808,2020,Jan,8
0,0,0,1,0,$31,2017,Oct,8
0,0,0,0,0,$38,2017,Aug,8
0,0,0,1,0,$238,2017,Jul,8
0,0,0,0,0,$246,2017,Jul,8
0,0,0,0,0,$118,2017,Jul,8
0,0,0,0,0,$15,2017,Jun,8
0,0,1,0,0,,2017,,8
0,0,0,1,0,"$21,519",2021,Apr,55
0,0,0,0,0,"$12,883",2021,Mar,55
0,0,0,1,0,"$6,442",2021,Mar,55
0,0,0,0,0,"$5,267",2021,Feb,55
0,0,1,0,0,,2017,,55
0,0,0,1,0,$202,2021,Jun,101
0,0,0,0,0,$71,2017,Dec,101
0,0,1,0,0,,2017,,101
0,0,0,0,0,"$5,926",2021,Jun,112
0,0,0,0,0,"$9,462",2021,May,112
0,0,0,0,0,"$4,733",2021,Apr,112
0,0,0,0,0,"$3,029",2021,Apr,112
0,0,0,0,0,"$1,888",2021,Apr,112
0,0,0,0,0,"$1,240",2021,Mar,112
0,0,0,1,0,"$1,063",2021,Mar,112
0,0,0,0,0,"$1,076",2021,Mar,112
0,0,0,0,0,$733,2021,Mar,112
0,0,0,0,0,$16,2021,Mar,112
0,0,0,1,0,$29,2019,Nov,112
0,0,0,0,0,$27,2019,Nov,112
0,0,0,0,0,$9,2019,Jan,112
0,0,0,0,0,$13,2017,Jun,112
0,0,1,0,0,,2017,,112
0,0,0,1,0,"$103,054",2021,Jun,116
0,1,0,0,0,,2021,,116
0,0,0,1,1,,2021,,116
0,0,0,0,0,"$159,540",2021,May,116
1,0,0,0,1,"$398,850",2021,May,116
0,0,0,1,0,"$16,718",2021,Apr,116
0,0,0,0,0,"$14,684",2021,Mar,116
0,0,0,0,0,$<0.01,2021,Mar,116
0,0,0,0,0,$<0.01,2020,Dec,116
0,0,0,1,0,"$1,035",2020,Oct,116
0,0,0,0,0,"$1,034",2020,Oct,116
0,0,0,0,0,$456,2017,Jul,116
1,0,0,0,1,$473,2017,Jul,116
1,0,0,0,1,$493,2017,Jul,116
0,0,0,1,1,,2017,,116
1,0,0,0,1,$616,2017,Jul,116
1,0,0,0,1,"$1,121",2017,Jul,116
1,0,0,0,1,$667,2017,Jul,116
1,0,0,0,1,$572,2017,Jul,116
0,0,0,0,0,$229,2017,Jul,116
1,0,0,0,1,$229,2017,Jul,116
0,0,0,1,0,$166,2017,Jul,116
0,0,0,0,0,$166,2017,Jul,116
0,0,0,1,0,$50,2017,Jul,116
0,0,0,0,0,$51,2017,Jun,116
0,0,1,0,0,,2017,,116
0,0,0,1,0,"$41,212",2021,Apr,269
0,0,0,0,0,"$39,886",2021,Apr,269
0,0,0,1,0,"$10,227",2021,Apr,269
0,0,0,0,0,"$10,370",2021,Apr,269
0,1,0,0,0,,2018,,269
0,0,0,0,0,$13,2017,Jun,269
0,0,1,0,0,,2017,,269
0,0,0,1,0,$230,2021,Apr,280
0,0,0,0,0,$232,2021,Apr,280
